软件与登录授权	本地授权	加密狗可否正常识别	命中:本地授权	待定
打印机属性相关 （仅支持指令输出的打印机有效）	其它参数	打印后处理、位置偏移等参数	命中:打印后处理	未见
标签格式	打印机	列出系统中安装的全部打印机	命中:打印机	√
标签格式	标签类型	标签类型随品牌而更改	命中:标签类型	未见
标签格式	标签名称	列出可供选择的标签	命中:的标签	未见
标签格式	纸张尺寸	是否允许用户选择纸张	命中:纸张尺寸	未见
标签格式	更改标签格式	切换到其它预定义标签格式或者自定义格式	命中:定义标签格式	√
标签格式	手动设置	手动设置与非手动设置时，预览图及相关参数是否正确改变	命中:手动设置,改变	√
标签格式	位置微调	是否可以调整整页的位置偏移	命中:位置微调	未见
对象编辑	剪切粘贴	剪切粘贴方式复制对象	命中:复制对象	不能实现
对象编辑	键盘方向键	使用键盘移动选中的对象	命中:选中的对象	不能实现
对象编辑	鼠标拖动调整	鼠标拖动选中的对象外框，可以更改对象的尺寸，文字会改变字体大小，条码可以调整高度和最小单元尺寸，线、框等调整尺寸，请注意测试拖动边框与角的差异	命中:鼠标拖动调整,的尺寸,体大小	不能实现
对象编辑	菜单、工具栏调整层次	调整对象层次	命中:菜单	不能实现
对象编辑	单个对象旋转	菜单和工具栏进行调整	命中:进行调整	不能实现
对象编辑	位置锁定与解锁	锁定和解锁对象的位置	命中:象的位置	不能实现
对象属性	对齐	仅对条码有效，对齐数据库或者序列号打印时的条码位置	命中:对齐	√
对象属性	对象附加说明	输入对象的附加说明信息，其中第一行信息在对象被选中时会被显示	命中:对象附加说明	不能实现
对象属性	类型	目前可以链接式图片和数据源图片，链接式图片直接给出图片文件名和路径，数据源图片通过数据源选项的内容确定图片文件名和路径	命中:类型,源图片	√
对象属性	保持长宽比	比例缩放时，保持图片的长宽比例不变	命中:保持长宽比	×
对象属性	高度和宽度	可以按比例和实际尺寸设置图片的高度和宽度，当保持长宽比时，改变一个参数，其它参数会同步改变	命中:高度和宽度,宽度	×
对象属性	类型	单行、多行、圆型，表示文本不同的形态，不同形态下，可供选择的项目也不同。单行不支持换行，多行支持换行符和自动换行	命中:类型,单行,多行,可供选择的项	√
对象属性	单行/行宽度	对于撑满对齐模式，文本的总体宽度是可以调整的，文字将按文字依靠设置在此框内输出，且不会超出此框，当广西内容超宽时，会通过调整字体宽度的方式使文本位于此边框内	命中:单行,行宽度,模式	√
对象属性	单行/文字停靠	撑满方式时，文字的停靠方式。左侧、右侧、居中方式下，如果字串的宽度小于边框宽度，由会以设置的方式停靠，如果超出了边框宽度，则会缩减文字宽度，满足边框要求。两端停靠方式下，如果字串整体宽度小于边框宽度，则加大字间距撑满边框。	命中:单行,文字停靠,左侧,右侧	×
